Rutland,326100
Shrewsbury,434000
Southborough,624900
Southbridge,214500
Spencer,281100
Sterling,367500
Sturbridge,304300
Sutton,365700
Templeton,247200
Upton,483800
Uxbridge,333100
Warren,233800
Webster,260000
Westborough,483000
West Boylston,299500
West Brookfield,266500
Westminster,303100
Winchendon,220900
Worcester,241800
